Nazwa utworu;Artysta;L. Artystow;Rok wydania;Miesiac wydania;Dzien wydania;W ilu playlistach;L. odtworzen;bpm
Danza Kuduro;Don Omar, Lucenzo;2;2010;1;1;17138;1279;130
Danza Kuduro;Don Omar, Lucenzo;2;2010;1;1;17138;1279;130
Creep;Radiohead;1;1992;9;21;36724;1271;92
Creep;Radiohead;1;1992;9;21;36724;1271;92
Why d You Only Call Me When You re High?;Arctic Monkeys;1;2013;1;1;23389;1267;92
Why d You Only Call Me When You re High?;Arctic Monkeys;1;2013;1;1;23389;1267;92
Titi Me Pregunt?;Bad Bunny;1;2022;5;6;9037;1264;107
Titi Me Pregunt?;Bad Bunny;1;2022;5;6;9037;1264;107
Yonaguni;Bad Bunny;1;2021;6;4;9644;1261;180
Yonaguni;Bad Bunny;1;2021;6;4;9644;1261;180
deja vu;Olivia Rodrigo;1;2021;4;1;7545;1257;181
deja vu;Olivia Rodrigo;1;2021;4;1;7545;1257;181
positions;Ariana Grande;1;2020;10;23;8207;1253;144
Mockingbird;Eminem;1;2004;1;1;12985;1242;84
Mockingbird;Eminem;1;2004;1;1;12985;1242;84
We Found Love;Rihanna, Calvin Harris;2;2011;1;1;36843;1235;128
We Found Love;Rihanna, Calvin Harris;2;2011;1;1;36843;1235;128
Unholy (feat. Kim Petras);Sam Smith, Kim Petras;2;2022;9;22;8576;1231;131
traitor;Juan Cruz Toledo, Huilen Toledo;2;2021;5;21;5257;1231;176
Unholy (feat. Kim Petras);Sam Smith, Kim Petras;2;2022;9;22;8576;1231;131
traitor;Juan Cruz Toledo, Huilen Toledo;2;2021;5;21;5257;1231;176
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons, League of Legends, JID, Arcane;4;2021;9;3;6180;1223;77
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons, League of Legends, JID, Arcane;4;2021;9;3;6180;1223;77
Enemy - from the series Arcane League of Legends;Imagine Dragons, League of Legends, Arcane;3;2021;10;27;824;1223;77
Save Your Tears (with Ariana Grande) (Remix);Ariana Grande, The Weeknd;2;2020;3;20;9161;1222;118
Save Your Tears (with Ariana Grande) (Remix);Ariana Grande, The Weeknd;2;2020;3;20;9161;1222;118
505;Arctic Monkeys;1;2007;4;20;13985;1217;140
505;Arctic Monkeys;1;2007;4;20;13985;1217;140
La Bachata;Manuel Turizo;1;2022;5;26;6804;1214;125
La Bachata;Manuel Turizo;1;2022;5;26;6804;1214;125
Still D.R.E.;Dr. Dre, Snoop Dogg;2;1999;1;1;33966;1211;93
Everybody Wants To Rule The World;Tears For Fears;1;1985;2;17;41751;1206;112
Everybody Wants To Rule The World;Tears For Fears;1;1985;2;17;41751;1206;112
In Da Club;50 Cent;1;2002;1;1;30427;1203;90
Hope;XXXTENTACION;1;2018;3;16;3659;1201;146
Contection;GODZZ__-, Zakaria;2;2020;1;16;6955;1181;166
you broke me first;Tate McRae;1;2020;4;17;6638;1180;124
Todo De Ti;Rauw Alejandro;1;2020;11;2;11975;1169;128
Todo De Ti;Rauw Alejandro;1;2020;11;2;11975;1169;128
Ghost;Justin Bieber;1;2021;3;19;5866;1167;154
Ghost;Justin Bieber;1;2021;3;19;5866;1167;154
Set Fire to the Rain;Adele;1;2011;1;1;14739;1164;108
Set Fire to the Rain;Adele;1;2011;1;1;14739;1164;108
Kill Bill;SZA;1;2022;12;8;8109;1163;89
Kill Bill;SZA;1;2022;12;8;8109;1163;89
Last Christmas;Wham!;1;1984;1;1;22153;1159;107
Last Christmas;Wham!;1;1984;1;1;22153;1159;107
Have You Ever Seen The Rain?;Creedence Clearwater Revival;1;1968;7;1;15890;1146;116
Have You Ever Seen The Rain?;Creedence Clearwater Revival;1;1968;7;1;15890;1146;116
Butter;BTS;1;2021;5;21;4779;1144;110
Butter;BTS;1;2021;5;21;4779;1144;110
Astronaut In The Ocean;Masked Wolf;1;2019;1;1;7191;1138;150
Ojitos Lindos;Bomba Est??reo, Bad B;2;2022;5;6;6135;1134;80
Ojitos Lindos;Bomba Est??reo, Bad B;2;2022;5;6;6135;1134;80
Night Changes;One Direction;1;2014;11;17;7124;1131;120
Night Changes;One Direction;1;2014;11;17;7124;1131;120
Daddy Issues;The Neighbourhood;1;2015;10;30;9771;1127;85
SLOW DANCING IN THE DARK;Joji;1;2018;9;12;10211;1122;89
Dandelions;Ruth B.;1;2017;4;28;3423;1117;117
Dandelions;Ruth B.;1;2017;4;28;3423;1117;117
Leave The Door Open;Bruno Mars, Anderson .Paak, Silk Sonic;3;2021;3;5;14417;1116;148
Leave The Door Open;Bruno Mars, Anderson .Paak, Silk Sonic;3;2021;3;5;14417;1116;148
Shake It Off;Taylor Swift;1;2014;1;1;21335;1114;160
Shake It Off;Taylor Swift;1;2014;1;1;21335;1114;160
I m Good (Blue);Bebe Rexha, David Guetta;2;2022;8;26;12482;1109;128
I m Good (Blue);Bebe Rexha, David Guetta;2;2022;8;26;12482;1109;128
Money Trees;Kendrick Lamar, Jay Rock;2;2012;1;1;26792;1094;144
Money Trees;Kendrick Lamar, Jay Rock;2;2012;1;1;26792;1094;144
